jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2021,2021-12-31,230,Winterthur,35-39,Schweiz,männlich,3198,False
2021,2021-12-31,230,Winterthur,35-39,Schweiz,weiblich,3017,False
2021,2021-12-31,230,Winterthur,40-44,Ausland,männlich,1588,False
2021,2021-12-31,230,Winterthur,40-44,Ausland,weiblich,1403,False
2021,2021-12-31,230,Winterthur,40-44,Schweiz,männlich,2748,False
2021,2021-12-31,230,Winterthur,40-44,Schweiz,weiblich,2703,False
2021,2021-12-31,230,Winterthur,45-49,Ausland,männlich,1279,False
2021,2021-12-31,230,Winterthur,45-49,Ausland,weiblich,1113,False
2021,2021-12-31,230,Winterthur,45-49,Schweiz,männlich,2455,False
2021,2021-12-31,230,Winterthur,45-49,Schweiz,weiblich,2582,False
2021,2021-12-31,230,Winterthur,50-54,Ausland,männlich,1099,False
2021,2021-12-31,230,Winterthur,50-54,Ausland,weiblich,933,False
2021,2021-12-31,230,Winterthur,50-54,Schweiz,männlich,2703,False
2021,2021-12-31,230,Winterthur,50-54,Schweiz,weiblich,2819,False
2021,2021-12-31,230,Winterthur,55-59,Ausland,männlich,946,False
2021,2021-12-31,230,Winterthur,55-59,Ausland,weiblich,801,False
2021,2021-12-31,230,Winterthur,55-59,Schweiz,männlich,2907,False
2021,2021-12-31,230,Winterthur,55-59,Schweiz,weiblich,3080,False
2021,2021-12-31,230,Winterthur,60-64,Ausland,männlich,655,False
2021,2021-12-31,230,Winterthur,60-64,Ausland,weiblich,560,False
2021,2021-12-31,230,Winterthur,60-64,Schweiz,männlich,2375,False
2021,2021-12-31,230,Winterthur,60-64,Schweiz,weiblich,2649,False
2021,2021-12-31,230,Winterthur,65-69,Ausland,männlich,398,False
2021,2021-12-31,230,Winterthur,65-69,Ausland,weiblich,352,False
2021,2021-12-31,230,Winterthur,65-69,Schweiz,männlich,1987,False
2021,2021-12-31,230,Winterthur,65-69,Schweiz,weiblich,2215,False
2021,2021-12-31,230,Winterthur,70-74,Ausland,männlich,296,False
2021,2021-12-31,230,Winterthur,70-74,Ausland,weiblich,301,False
2021,2021-12-31,230,Winterthur,70-74,Schweiz,männlich,1578,False
2021,2021-12-31,230,Winterthur,70-74,Schweiz,weiblich,2111,False
2021,2021-12-31,230,Winterthur,75-79,Ausland,männlich,244,False
2021,2021-12-31,230,Winterthur,75-79,Ausland,weiblich,243,False
2021,2021-12-31,230,Winterthur,75-79,Schweiz,männlich,1523,False
2021,2021-12-31,230,Winterthur,75-79,Schweiz,weiblich,1972,False
2021,2021-12-31,230,Winterthur,80-84,Ausland,männlich,224,False
2021,2021-12-31,230,Winterthur,80-84,Ausland,weiblich,214,False
2021,2021-12-31,230,Winterthur,80-84,Schweiz,männlich,918,False
2021,2021-12-31,230,Winterthur,80-84,Schweiz,weiblich,1472,False
2021,2021-12-31,230,Winterthur,85-89,Ausland,männlich,107,False
2021,2021-12-31,230,Winterthur,85-89,Ausland,weiblich,101,False
2021,2021-12-31,230,Winterthur,85-89,Schweiz,männlich,620,False
2021,2021-12-31,230,Winterthur,85-89,Schweiz,weiblich,1037,False
2021,2021-12-31,230,Winterthur,90-94,Ausland,männlich,29,False
2021,2021-12-31,230,Winterthur,90-94,Ausland,weiblich,41,False
2021,2021-12-31,230,Winterthur,90-94,Schweiz,männlich,260,False
2021,2021-12-31,230,Winterthur,90-94,Schweiz,weiblich,557,False
2021,2021-12-31,230,Winterthur,95+,Ausland,männlich,4,False
2021,2021-12-31,230,Winterthur,95+,Ausland,weiblich,10,False
2021,2021-12-31,230,Winterthur,95+,Schweiz,männlich,47,False
2021,2021-12-31,230,Winterthur,95+,Schweiz,weiblich,182,False
2020,2020-12-31,230,Winterthur,00-04,Ausland,männlich,829,False
2020,2020-12-31,230,Winterthur,00-04,Ausland,weiblich,771,False
2020,2020-12-31,230,Winterthur,00-04,Schweiz,männlich,2384,False
2020,2020-12-31,230,Winterthur,00-04,Schweiz,weiblich,2244,False
2020,2020-12-31,230,Winterthur,05-09,Ausland,männlich,799,False
2020,2020-12-31,230,Winterthur,05-09,Ausland,weiblich,814,False
2020,2020-12-31,230,Winterthur,05-09,Schweiz,männlich,2187,False
2020,2020-12-31,230,Winterthur,05-09,Schweiz,weiblich,2091,False
2020,2020-12-31,230,Winterthur,10-14,Ausland,männlich,742,False
2020,2020-12-31,230,Winterthur,10-14,Ausland,weiblich,655,False
2020,2020-12-31,230,Winterthur,10-14,Schweiz,männlich,2207,False
2020,2020-12-31,230,Winterthur,10-14,Schweiz,weiblich,2042,False
2020,2020-12-31,230,Winterthur,15-19,Ausland,männlich,578,False
2020,2020-12-31,230,Winterthur,15-19,Ausland,weiblich,451,False
2020,2020-12-31,230,Winterthur,15-19,Schweiz,männlich,2115,False
